charTrigrams,wordBigrams,wordUnigrams
 vi,child teen,whole
l s,teen sexual,award
ou,sexual abus,octob
ee,abus caption,oxi
bes,caption english,dream
eet,at least,care
to,that make,moment
un,men trash,sleep
cha,strong women,face
nc,person i,lucki
ek,i victim,diet
ish,vincent cassel,st
rst,fat tuesday,resolut
og,grill meat,these
se,time but,which
k s,meat today,k
r m,masqu parti,behind
 cu,parti today,cool
tho,get lit,set
d t,lit lit,breakfast
tl,greec today,decid
e r,eat meat,lol
n w,meat day,meet
di,what mean,pass
r w,s ok,did
oll,ok i,appar
lli,day anoth,gift
rri,today celebr,reason
ict,proud greek,school
ank,axi power,univers
not,metaxa said,everyth
r d,when entir,brown
oy,entir world,long
 ki,world lost,rock
tri,lost hope,sweet
sho,hope greek,dad
t n,greek peopl,parti
n d,peopl dare,seen
out,dare question,from
n h,question invinc,coupl
ere,invinc german,favourit
cel,german monster,train
 tw,us never,pose
is,sacrific made,refus
men,made gone,war
 ra,gone us,those
pl,us day,action
uch,today caus,pick
 im,caus reflect,bad
ugh,reflect remembr,via
pho,remembr also,guess
oto,also pride,read
oth,pride great,holiday
l l,great nation,white
 bu,nation greec,cours
ttl,th octob,ass
irs,axi forc,drop
der,day no,probabl
ink,no day,rais
 ph,today let,some
ang,free today,drink
i h,celebr freedom,water
ass,world celebr,rememb
ers,commemor th,lt
t u,day said,power
n f,amp make,alon
n a,militari parad,anyon
tra,octob th,excit
my,follow i,da
ain,tom cruis,o
e e,piec heart,grandma
leb,the parad,nazi
d g,brought us,fire
ag,alway rememb,strong
sto,go me,be
l a,no xeni,damn
how,world leader,black
n i,day the,real
ime,spread love,tsiknopempti
cat,end one,grill
s c,gender equal,hour
yon,woman drive,ago
ebr,us i,ww
ce,happi birthday,fascist
chi,next weekend,sacrific
 gu,stay tune,hi
muc,i like,small
kno,make day,justic
war,much better,sometim
e i,need help,listen
pla,work hard,initi
fur,wish come,perfect
oug,million peopl,true
y l,what plan,presid
i r,morn love,india
 te,bye bye,god
 un,he alway,busi
ger,big brother,bless
spe,peopl stand,persemb
ope,west side,ahead
as,side niggaaa,episod
ren,alway find,natasha
lif,i got,leav
ife,final look,partner
oul,i come,are
uld,dont care,done
ey,one keep,hair
d m,follow dream,heard
row,idea i,bodi
ide,keep watch,tiffani
fav,first ever,dare
y g,amaz year,doesnt
mea,make new,inspir
br,week episod,mountain
 ad,episod discuss,tie
mil,discuss look,member
 bl,forward movi,gon
pos,movi love,honor
por,love mani,spirit
l f,mani random,fill
d i,random topic,hey
now,topic join,blue
wan,us episod,instagram
rk,episod live,at
say,we must,fur
ett,go love,hard
l g,thi need,doctor
hil,us year,hospit
m s,year great,deal
no,my first,pack
d h,give us,pride
ari,make list,tag
e u,list thing,red
l c,thing make,prize
ong,make happi,cutest
rin,d love,coco
 ex,sacr heart,servic
don,heart jesu,companion
ir,us amp,remind
ork,cheer new,youv
gra,friend famili,save
ath,anoth year,spot
p p,see win,lunch
y t,year resolut,bit
low,love i,top
tor,year dear,becaus
wis,littl littl,hell
d n,pure bliss,roll
ran,januari st,prefer
tch,fresh start,natur
anc,t let,winner
r h,good fortun,monday
ash,across u,born
hel,year get,birthday
r b,new music,bear
op,new thing,shot
 ac,senat year,sound
llo,say love,decis
 ro,im readi,em
opl,like wish,contest
fre,wish wonder,question
d a,i lost,offici
som,everyon follow,forev
 ar,support happi,meal
ave,spent day,movi
 kn,the year,lose
r g,bori johnson,buddi
n m,chronic anger,local
avo,make live,sir
y m,happi and,public
omm,year decad,broadcast
 jo,begin new,light
ace,new decad,cultur
so,feel good,whatev
ins,bring new,und
joy,year everyon,other
l b,would like,healthi
wit,year make,satir
d c,hon bl,friday
rou,present s,futur
can,wish happi,climat
fin,year ahead,insult
l m,year furiend,relax
ug,kick start,liter
peo,on first,tune
eop,one best,surpris
twe,year thank,death
s f,good health,mad
h s,better everi,front
r i,week old,cesar
hop,i look,abus
y h,boy love,caption
up,welsh corgi,came
las,amp pro,brave
e o,offici announc,fact
y b,day post,wan
n l,t everi,everywher
um,my buddi,mayb
ryo,me i,courag
 cl,love dog,woman
ctu,miss yesterday,offic
 tu,i mean,church
n n,happi love,bbq
uck,love im,festiv
am,s belov,lit
ons,thi first,smell
wha,love everi,almost
eel,love natasha,gone
nti,want say,brother
y f,he love,axi
 as,i z,italian
orl,learn work,offer
rld,extra treat,enter
t y,day but,commemor
t o,anim give,fight
min,give their,anniversari
eci,their love,kiss
urr,love freeli,son
emb,freeli it,student
il,it is,gender
n g,is full,brought
erm,full of,bird
nst,of innoc,posit
whe,innoc and,catch
orn,and puriti,weekend
k f,share pictur,discuss
tak,get camera,pm
n b,our dog,ah
ig,dog think,pakistan
act,think coolest,protect
s i,coolest handsom,eye
ner,handsom boy,bye
iss,boy world,edit
s m,world ig,struggl
ade,ig puphutch,dear
de,these superhero,campaign
 up,superhero need,biggest
bet,like lori,mum
 ou,lori pet,ig
adi,dress fanci,fanci
bab,fanci today,super
s d,we got,laugh
inc,got exactli,shop
ven,exactli need,audrey
le,alway dress,hepburn
ki,dress impress,mr
d w,impress which,grab
tan,which super,molli
s h,super pet,although
k t,pet would,collect
tru,would partner,awhil
til,they re,adventur
l p,re laugh,anyth
ick,laugh anymor,els
iti,k style,fulli
lan,it today,tutu
a s,today zeu,seem
s w,zeu think,awesom
thr,think kind,staff
bac,kind big,whenev
o t,big dill,cold
win,dill are,corgi
nte,are dress,problem
shi,spyro have,doggo
y a,have done,sponsor
dec,done someth,grow
s u,someth hair,round
lac,hair how,etern
stu,how could,grate
y i,could miss,fit
wea,for re,spend
n e,re throw,item
liv,back behind,instead
sur,behind scene,especi
ip,scene film,continu
 ri,film polic,sport
l d,polic navidad,die
mon,navidad video,p
ond,video tymo,enough
tag,tymo lubo,anyway
h c,lubo love,truth
who,love reindeer,luck
fee,reindeer ear,took
pe,we n,owner
tre,know countri,snap
ini,countri ll,fav
eli,ll us,success
les,us like,f
whi,like sort,queen
big,sort thing,differ
r e,thing old,request
unt,old pic,suit
old,oddli ive,count
ol,ive found,repli
wel,found im,harri
vor,im in,charact
edi,in winter,announc
k p,winter i,pretti
pri,want warm,soon
ado,my cowork,theyr
rma,cowork heard,express
l t,heard s,riley
ev,s made,folk
h l,made put,vol
bro,put super,rain
ten,super cool,channel
tal,cool all,child
rai,all star,doubt
i e,star game,lie
mus,game t,democrat
ron,t shirt,definit
mer,shirt you,polit
y w,you get,an
ci,get one,leader
g d,like mine,lil
mis,mine bodi,shelter
r r,bodi shop,dude
s l,superpussi i,car
int,i dare,number
 cr,dare grab,fellow
jus,it let,uniti
i o,see well,dark
car,well share,respons
s t,fashion icon,return
ull,year which,race
 sm,say go,popular
d e,big go,american
rat,go home,birth
hen,home show,excel
pen,show dress,strike
own,today momma,ruff
she,momma complet,english
h t,complet forgot,less
rig,forgot share,after
tom,share one,wow
d f,one i,environment
eep,i help,pig
ep,get pawmot,senior
ild,pawmot work,choir
fe,never better,goe
k c,better time,entir
got,time re,threat
lwa,re shar,radio
d b,shar molli,self
k b,molli cat,sick
nde,cat s,anti
y c,s kassandra,point
hom,kassandra pawsplay,attack
mom,pawsplay show,gim
ple,best outfit,sale
org,outfit credit,sexual
s n,today bea,rapist
g s,bea join,might
o p,join lol,shame
enj,sergeant major,reflect
njo,major jigg,french
 aw,jigg readi,illustr
k w,readi footbal,book
atc,footbal game,least
o c,it poor,men
mem,poor lacey,constantli
na,lacey doesnt,rape
o s,doesnt love,now
ann,love costum,direct
bel,costum doesnt,vincent
 of,doesnt make,cassel
hol,make cute,tire
ia,cute minni,smoke
alw,minni mous,system
y r,day although,load
eth,although day,session
 sc,day isnt,tonight
oli,isnt favorit,throughout
 ea,favorit make,sunday
mad,make hooman,usual
urn,hooman happi,elect
fas,happi mean,hero
nni,mean pet,flag
bi,so meet,previou
col,meet snoop,ultimatum
l w,snoop dobbi,mussolini
ern,dobbi dog,monster
 m,dog new,box
ud,new weather,w
if,weather dog,churchil
ith,dog send,oct
em,pic babi,honour
o f,babi dress,walk
a n,dress embarrass,past
ait,embarrass collect,militari
ues,just case,piec
uar,case need,xeni
mat,need inspir,realiti
y n,it mom,close
s r,mom went,door
ose,went mountain,sin
rac,mountain photo,innoc
che,photo pic,alreadi
orr,pic dandi,suck
 ni,dandi one,li
 hi,one everyon,draw
hur,everyon enjoy,road
sup,enjoy we,goal
pol,love oliv,leadership
ntr,oliv everton,hello
k h,go pass,west
si,pass dress,control
nev,dress pixieup,writer
ser,pixieup here,perform
ean,here lewi,earli
cut,lewi awhil,wake
abi,awhil back,step
wat,back watch,creat
d u,watch game,turkish
r n,we dont,note
esi,dont wear,open
dia,wear cloth,gun
d r,cloth mom,singl
upp,mom dress,everybodi
giv,dress us,three
lin,use tool,pop
rth,tool wilbur,b
ord,wilbur amp,town
 ru,amp erni,travel
ali,know today,order
ret,today so,energi
cti,so celebr,toy
l n,celebr pictur,sign
nit,pictur spike,matter
rad,spike look,sun
hey,best dress,didnt
met,dress vest,opportun
arr,will work,list
ure,work pup,jesu
 a,pup patti,pure
rti,patti today,fresh
tic,today throw,nd
hon,back one,law
sid,fave costum,bell
irl,costum server,senat
s a,i fun,furiend
tes,fun dress,pull
 ju,up day,spent
may,day last,johnson
y e,last season,ill
ppo,season i,snuggl
spo,new one,sent
m c,one next,young
pt,appar put,belov
pec,put max,introduc
eca,max tuxedo,z
s b,tuxedo tie,camera
ama,tie head,mst
mme,head go,dill
cia,superpow includ,guilti
ial,includ snif,polic
ult,snif adventur,ear
ote,it a,ive
sin,a member,winter
p t,member decid,warm
fol,decid particip,shirt
bri,particip let,photogtaph
emo,pet spur,fashion
lat,spur gear,angu
o n,win gift,complet
vid,gift card,forgot
 lu,appar no,poor
 ll,no way,mous
ssi,way i,isnt
ma,put cloth,hooman
tum,cloth i,case
ute,na act,cloth
alt,act like,fave
 is,i wear,spur
s e,wear throw,card
lle,throw pillow,bow
iv,honor nation,risk
 ve,day two,four
ext,two photo,leg
do,photo overal,exampl
uri,overal love,diamond
gir,love rocki,dang
sda,mojo array,gloriou
dea,array bow,excus
ite,tie thi,sweetest
h b,thi favorit,wo
m a,favorit besid,danger
lon,besid i,model
ita,i risk,coat
off,risk person,loath
 qu,person injuri,wuz
rem,injuri i,wed
n r,put anyth,tank
dis,anyth els,turbo
los,s no,grew
ref,no need,degre
hum,need tell,daili
urs,tell us,aka
udd,us twice,davi
nig,twice firesprit,breed
lis,firesprit s,greyhound
eec,s four,purrfect
moo,four leg,pitt
ole,leg friend,doe
imp,friend get,jennif
t k,get spirit,halloween
ene,spirit day,wiener
 ga,we ve,llama
odi,ve fill,abl
ra,fill ador,sit
dit,ador yet,pool
rge,yet thought,size
ous,thought share,winston
h d,pet us,state
o m,do dress,serious
 em,share exampl,milhous
use,hey doberman,codi
w t,doberman hey,south
att,hey yappi,featur
aso,yappi dan,charli
ock,dan you,choos
g f,you ve,hunter
 my,got style,furbal
c c,style but,speak
cho,but doggi,volum
aus,doggi you,hat
v s,you re,album
c p,re never,possibl
nda,never fulli,type
s g,fulli dress,squeez
wai,dress without,au
uni,without smile,wasnt
ili,happi friend,potter
unc,if my,x
fic,my way,ta
eam,way s,fetch
m t,never way,sweater
atu,way would,cardigan
fer,would everi,thrill
awa,day a,courtesi
g b,girl deserv,basebal
ara,deserv diamond,where
rro,diamond pearl,repres
ooo,pearl tutu,bikini
dri,tutu everi,omg
len,year happi,or
cri,s apper,pix
lie,apper enjoy,grant
usi,enjoy my,boyah
nic,my chunki,duke
rel,chunki boy,backpack
wom,boy gloriou,shine
hip,gloriou costum,dri
 ja,costum get,larg
eac,like need,hot
cad,need excus,perhap
ool,excus shop,tortur
ese,shop influenc,crime
k l,influenc curat,mascot
y d,curat look,swing
h a,day seem,pink
 ol,seem like,betti
fou,like good,hatr
fam,good reason,band
mou,reason share,form
p l,share awesom,main
cos,awesom pic,low
inn,pic lulu,were
lth,lulu dress,respect
hoo,dress ewok,saw
 sn,good boy,center
cas,boy girl,promis
m g,best kentucki,near
fun,kentucki blue,worri
ber,friend gear,lizard
ft,the sweetest,breath
ire,sweetest way,quot
ful,celebr bowiethebichon,thread
ile,bowiethebichon instagram,add
ken,t staff,relief
 sw,staff just,christma
alk,just n,shit
cal,t it,medit
tea,it wo,divis
ye,end well,rejoic
ore,us dress,content
wn,may s,essenti
een,s unlik,current
bl,unlik cat,report
y p,cat enjoy,connect
mar,enjoy dress,humil
vic,cat costum,panel
 vo,costum danger,activist
que,danger get,passion
ina,get stuck,athlet
h f,stuck someth,neg
k i,someth could,area
ril,could caus,dedic
orm,caus pet,hand
omo,pet injur,fear
cis,injur so,immedi
dop,so forget,weltknuddeltag
rev,forget novelti,hold
tro,novelti outfit,each
e y,outfit think,cuddle
bra,think cat,accept
scu,cat cute,second
g t,whenev s,intern
fan,s cold,either
any,cold say,tight
kin,say eula,sister
hro,eula mae,xoxo
m p,mae model,wa
ddl,model walker,wdr
put,walker s,oma
bre,s shortbread,opa
eak,shortbread coat,whether
h o,love loath,sing
y y,loath let,haha
bea,know post,outrag
oin,pic pup,insight
oom,pup im,news
oma,im fan,pollut
bar,fan fanci,environ
spi,fanci dress,truck
ndi,dress dapper,entitl
ton,dapper bandana,millenni
sea,bandana bowti,author
ici,bowti who,tv
h i,who resist,remov
twi,one week,angri
but,week school,meme
rl,school start,chart
pea,start donut,bizarr
rio,donut corgi,rest
nge,corgi readi,blew
 at,readi instagram,drum
ail,instagram journeyofdonut,lead
oct,fanciest dress,scandal
dic,dress i,machin
opt,ve ever,demonstr
r o,ever worn,disguis
lla,worn wuz,until
rep,wuz at,bottl
c s,at last,teen
s o,last month,attend
aw,month s,artist
oad,s wed,incred
lar,wed it,oscar
l r,it wuz,beyond
top,wuz made,trash
ano,made just,break
l h,just fur,violenc
nne,fur me,former
c m,costum no,europ
guy,no problem,consent
az,problem it,addit
lk,s get,more
ian,get play,hop
p r,play tank,am
mas,tank support,tsiknothursday
t v,support s,vegan
sic,s hard,fat
ual,happi turbo,orthodox
gen,turbo ca,bought
ric,see good,dinner
nam,good doggo,legend
ami,doggo ballpark,al
ec,ballpark turbo,cook
