charTrigrams,wordBigrams,wordUnigrams
att,feel safer,harington
r w,virginia governor,whi
 cl,de escal,seem
 na,i cant,singl
ide,an arm,rt
way,i see,arrest
ce,see photo,head
e h,dress like,alreadi
gun,the base,anyon
go,gun violenc,side
r b,domest terrorist,countri
ou,wave trump,die
od,trump flag,red
e n,american citizen,cant
di,counter protest,cool
e g,white supremaci,reason
d t,right w,constitut
 cu,black hispan,pick
tor,debat stage,news
ell,my thought,done
tra,sheriff richard,name
 ki,richard vaughan,king
car,vaughan grayson,folk
n l,grayson counti,at
tar,counti va,across
ons,if bill,twitter
gin,bill go,lost
pla,go propos,gener
y s,propos enforc,top
r m,enforc they,forward
ost,they unconstitut,present
ran,arm patriot,berni
ari,januari th,cut
k s,mask gun,healthcar
ien,s time,k
can,m sure,job
itt,know i,went
 cr,virginia s,shoot
i i,background check,an
e i,a man,hi
 ti,say today,break
dre,well done,messag
 ce,virginia today,equal
ron,tri take,some
d w,virginia one,free
don,kkk robe,other
e e,elect democrat,everyday
ten,t want,walk
tim,come togeth,particip
lit,s import,larg
rat,trash road,report
eet,road ralli,brother
 mu,confeder flag,dead
whi,state emerg,night
si,democrat parti,anim
ass,democrat governor,partner
l b,wan na,opportun
fer,noth say,fan
s c,abid gun,joe
 un,kansa citi,campaign
il,t get,might
oul,bring gun,war
n d,is trump,rais
ard,trump s,line
is,we got,word
gra,t tell,room
pic,god bless,matter
not,face mask,case
n r,governor northam,governor
l a,i saw,actual
 it,w o,member
ond,thi guy,congratul
nte,ye i,open
let,insurrectionist richmond,speak
 kn,h t,thousand
ven,would refus,major
 jo,today everi,lot
uld,we would,citi
ite,t care,ca
nti,fake new,everyth
i b,share pictur,kind
 gi,s still,gear
n i,must stand,took
pos,in virginia,manag
s p,know re,project
ugh,like wear,bit
loo,support amp,ladi
fir,ralli richmond,heart
mak,s capitol,chanc
row,call us,cute
r i,one like,kick
kno,the right,costum
ood,children s,servic
l c,i came,uk
rem,protect right,excit
sha,flood street,bowl
nde,walk around,chief
i g,northam out,chang
tho,no one,record
nia,you want,interview
rm,run presid,strong
exp,a german,decid
ner,german suspect,of
oll,dead apart,avail
ey,apart along,whole
eed,along mother,st
ica,mother s,va
sh,s dead,tonight
tru,dead bodi,pro
mar,bodi the,polic
hit,the terrorist,ago
ink,place two,appli
rri,two differ,voic
i n,differ shisha,allow
l t,bar german,offic
rk,citi left,success
m s,left peopl,pay
ern,peopl dead,product
d l,dead mani,pretti
hot,other critic,unit
op,critic injur,oh
rie,injur a,fake
 at,a video,abid
ers,video dw,public
fri,dw news,were
min,pleas share,elect
 bl,th march,remind
dis,around world,owner
r r,throw back,street
usi,thank you,young
ppo,happi birthday,death
to,go back,respons
l p,women get,sound
d m,new podcast,turn
ick,on i,repres
ath,empow women,mean
rgi,shine light,creat
win,women team,link
tak,my mom,german
 pu,know your,bodi
r d,t know,germani
d g,project manag,spend
as,woman i,sale
mon,gender equal,engag
sen,amaz women,adopt
rac,better i,connect
cal,strong women,travel
tes,there one,am
k t,take care,congrat
bus,today amp,tv
tom,my friend,seri
n g,wish happi,cx
boo,give us,innov
i h,s i,million
ree,spent day,nice
inc,love im,senat
sid,i use,guess
 sc,audrey hepburn,be
i r,mr famou,came
tre,set breakfast,mind
d b,breakfast tiffani,definit
las,tiffani s,sign
r l,let see,charact
ime,share favorit,though
ol,which one,defend
 tw,go big,safeti
t u,help get,la
ery,us furri,fli
rec,day we,saw
d d,happi send,promis
nat,day two,effort
iti,i tri,point
lac,share photo,close
shi,way celebr,offici
fin,s send,announc
h s,it may,decis
chi,s get,mother
mil,wait see,treat
n m,get readi,intern
d r,i go,dream
own,best day,compani
l d,today nation,three
tio,see pet,suggest
nor,good luck,billion
s t,dog dress,beat
s a,s dog,mayb
 ad,have great,fact
n b,ador pet,cours
unt,photo i,age
tea,thing i,refus
ank,day here,voter
rot,harri potter,expect
oot,us pic,societi
 sm,s let,car
edi,anoth day,self
 vo,s today,cover
 a,she s,more
if,love anim,januari
som,i get,honor
t o,year great,retweet
ral,love i,histori
n h,see us,weapon
 fl,t let,divers
arr,alway rememb,gather
p p,one thing,joy
d i,we miss,fuck
le,old year,awesom
irg,bori johnson,biggest
eek,wish health,behind
rin,a new,ass
ain,wish everyon,liter
cel,a littl,real
pea,amp love,continu
de,much joy,access
rit,i final,due
 as,some peopl,collect
ork,protect us,bar
rst,cat i,roll
say,s nation,spread
 hu,best friend,throw
so,nation love,music
pho,thi first,justic
ati,noth like,light
mis,go to,welcom
r h,to the,school
adi,the super,gift
tch,one game,ill
eam,pass interfer,industri
p s,work the,song
l l,well s,have
mor,winni the,winner
n e,pooh day,trend
ext,how spell,provid
 ph,spell love,rescu
cor,hundr acr,throne
 ga,acr wood,viru
bes,make differ,infect
cre,day one,flu
oug,break new,problem
enc,i finish,plan
ris,rose lesli,civil
l g,rt amp,wash
pen,a song,leader
thr,amp follow,almost
mal,nathali emmanuel,wrong
cia,pre sale,true
old,sale access,polit
ole,access th,base
i e,am gener,nazi
llo,gener sale,hello
ali,sale th,interest
k p,presal live,wa
tan,drama seri,stage
low,day confer,emerg
y t,panel discuss,taken
nfe,drop booth,latest
cus,booth say,vega
wan,re thrill,huge
rio,deep dive,cold
ace,team booth,violent
eci,bring togeth,bless
sma,s talk,recent
nee,great team,thread
cis,find us,sinc
ebr,three day,after
ep,thi week,attende
a s,engin same,forc
upp,same feder,issu
eco,busi team,lol
ord,exhibit hall,order
ins,we excit,shit
bea,hand sanit,shout
tic,public health,posit
d f,im tri,number
onf,ago i,seen
pec,custom effort,less
iss,effort score,hold
r e,forget book,me
arm,book hotel,p
lie,hotel room,level
rep,room show,town
ber,show la,current
sur,vega the,birthday
war,the discount,session
liv,discount hotel,daughter
ple,hotel rate,engin
l f,rate avail,global
r g,click link,ador
ton,at ce,hospit
l m,talk town,avoid
ek,look part,listen
lk,team appli,episod
ser,biden s,catch
ger,keep go,februari
em,lie us,consum
tro,fals ad,market
ave,support social,probabl
pat,there mani,becom
goo,where s,complet
n f,cut social,camera
bac,strong support,ok
tal,movement you,lose
oy,mandela you,vaccin
wit,day he,disappoint
ope,old man,antifa
ttl,beat like,receiv
eth,s lie,r
lin,berni s,agenc
k c,tell truth,clear
emo,patholog liar,organ
aci,healthcar human,sick
len,human right,counti
 hi,t even,bill
eep,d rather,enforc
m c,one you,spot
bl,draw clock,given
lan,match i,color
l r,berni sander,gender
ir,would n,injur
tl,everi american,claim
rum,k ppl,clean
ump,fail american,nationalist
s d,biden li,drop
l w,i gut,perfect
pan,gut endors,met
 ke,endors clinton,round
ial,clinton right,children
 ou,thing time,imagin
eli,time amp,wasnt
t y,amp back,doe
pri,back berni,terror
ntr,s run,shirt
p c,need control,begin
irs,i post,shisha
oto,where would,expert
rro,would feel,action
s w,west virginia,possibl
dem,tonight debunk,develop
lar,media amp,ceo
lon,a ralli,femal
i o,peac pro,dad
imp,w gun,favourit
hel,week ago,movi
rti,think think,achiev
wha,re readi,cc
omm,red flag,friday
ren,flag law,e
col,last time,outfit
ip,someth i,sponsor
inn,zero violenc,scienc
leb,violenc richmond,thrill
e o,new video,easi
yon,antifa actual,outbreak
ac,b c,mahom
rth,past two,score
ire,two hour,brief
oin,virginia senat,dragon
eac,r flag,land
k a,flag gun,actor
eak,want curb,ice
o s,curb gun,pm
