charTrigrams,wordBigrams,wordUnigrams
yon,accord constitut,respect
und,constitut god,finish
 tv,everi man,wo
 ac,daughter mother,stadium
i c,servic devot,plan
min,maharaj give,drug
 ki,maharaj complet,theft
you,true devot,corrupt
ani,inspir knowledg,briberi
a t,told great,land
 us,great hindi,project
e e,hindi saint,galatasaray
 fe,peopl live,call
t i,live live,littl
v p,given sant,not
ere,bring golden,break
rit,all live,ca
low,the aim,hard
lov,aim saint,top
r a,ji everi,hear
cre,everi person,place
r b,that come,she
par,come lead,as
nk,lead everyon,noth
pl,everyon right,seem
new,onli sant,excit
g s,human happi,treat
gre,happi earth,forward
e m,becom like,fear
i p,one god,more
 cr,must know,v
god,know real,offici
tri,tv p,episod
us,golden yug,mind
 dr,daughter becam,an
sad,satyug possibl,intox
 ro,possibl tatvagyan,onli
ndi,s follow,lion
 gi,follow complet,widow
se,complet happi,harmoni
 ye,basi knowledg,savior
oda,maharaj discrimin,titl
ari,high low,sir
rin,maharaj a,magnum
ery,civilis base,opu
led,everyon afraid,novel
tod,afraid god,moscow
 hi,god use,congratul
i a,use follow,week
pi,follow good,person
ger,good polici,run
act,polici cheat,post
edg,cheat dishonesti,ball
dg,dishonesti today,tomorrow
tha,kalyug see,girl
ori,see qualiti,gon
ell,qualiti discipl,brother
eli,maharaj golden,sign
ou,age is,lt
wle,the one,heart
d c,get proper,celebr
liv,proper wage,share
tur,maharaj go,son
hol,world kabir,ll
ave,true guru,oh
sh,fear god,happili
ole,atmospher around,favorit
llo,come no,without
vot,come peac,have
a c,harm anyon,from
s s,naam deeksha,semi
dev,t take,rain
cou,we alway,video
hat,alway heard,concert
lay,heard lot,perform
win,lot heaven,far
way,heaven now,away
rth,see heaven,by
pea,heaven front,money
ple,eye thu,due
adh,thu sacr,social
d a,land the,drink
fir,start soon,propheci
fin,soon kabir,woman
 na,end mutual,came
r w,mutual conflict,maniratnam
tra,like satyuga,biathlon
yea,begin golden,definit
sto,maharaj make,tri
bac,age peopl,face
ed,women treat,ladi
n p,treat mother,teach
n r,peopl satyug,smile
bri,serv parent,incred
evo,bless us,word
im,sant rampalji,friend
ath,teach kabir,ever
rat,maharaj spread,just
i b,maharaj great,special
ord,kali yuga,done
n n,consid devot,men
who,devot first,babi
uss,first duti,champion
ria,duti life,screen
fol,chyren savior,perfect
dia,on basi,war
chi,come predict,forev
d f,foretel prove,locat
l t,bring satyug,yesterday
 hu,satyug earth,p
rus,come kabir,possibl
aty,would love,saturday
mar,shoot begin,other
 sc,s next,goe
tru,schedul start,find
 yu,anna amp,origin
d p,amp anna,fin
il,anna marriag,chanc
d w,marriag recept,strong
 vi,recept erod,histori
wan,erod today,hashtag
oul,thi time,die
r y,ratnam s,scene
 ga,start today,spread
l p,dream project,front
i l,titl font,vishwaguru
ugh,shoot start,discipl
ank,first day,consum
n d,epic novel,accord
dow,teenag forev,philosophi
te,keep calm,appear
rem,day trabzonspor,salvat
ren,medic park,path
 ex,park stadium,wed
spi,boy with,femal
r m,with luv,chyren
tyu,hous dragon,mutual
n e,re live,brotherhood
n l,harington presal,director
d l,go to,ponniyin
 a,to the,selvan
sup,the super,produc
rma,one game,dragon
n c,thi guy,mahom
ey,i could,left
men,could n,fun
 ea,the end,hand
lis,pass interfer,number
n f,i got,pass
ryo,t even,thought
pir,i still,cant
n h,we still,twitter
uld,readi for,tweet
ate,but i,billion
mil,love you,ve
goo,sound like,differ
ser,s today,stronger
r p,winni the,support
sia,pooh day,pic
ers,how spell,high
loo,spell love,cri
n b,did know,may
i h,i found,mr
shi,everi day,where
opl,i use,fantast
ron,hundr acr,morn
ith,acr wood,futur
ian,i start,cup
nc,friend i,almost
tea,look good,appli
i d,i live,wan
ard,t wait,sure
d m,read book,enough
wit,today i,speak
eal,s back,tour
ons,s like,ye
peo,start xi,border
eop,first half,meet
w s,let get,kind
as,stuck head,initi
hna,stream black,inspir
ag,s time,race
rst,mayb could,adulteri
sti,raymond depardon,nostradamu
edi,thoma barbey,tobacco
erm,one best,satsang
eac,far away,america
i e,the peopl,sorrow
 yo,and oscar,satyuga
een,oscar goe,foretel
itu,it amaz,prove
aaa,i like,coupl
ann,my name,latest
gra,look like,exclus
ost,leg semi,vikram
r d,would like,recent
g c,amp follow,direct
mi,happi new,r
ue,get readi,confirm
ont,bring new,russian
d e,peac prosper,cemr
l m,countri end,stark
iti,all human,ice
t n,human world,basi
rn,world vegetarian,roll
mon,vegetarian no,footbal
k s,no anim,mood
ten,kill tast,penalti
d b,tast tongu,someon
spe,s show,victori
em,kalyug mein,leader
d k,mein satyug,moment
r c,satyug accord,young
l l,satyug everi,harri
ort,man look,discuss
rel,look women,entir
dis,mother evil,bound
giv,evil today,matter
war,all evil,home
rmi,evil deed,omg
lan,deed like,announc
dhn,like lie,past
how,lie fraud,gener
um,fraud misde,miln
i g,misde etc,rememb
 un,etc end,absolut
rec,make societi,march
hou,devot devot,check
ner,the wealth,return
mat,dowri free,updat
ali,corrupt free,matchday
ton,the follow,step
mak,take bribe,vs
 cl,human religion,martin
u s,peopl wast,tag
