charTrigrams,wordBigrams,wordUnigrams
rth,super i,hereww
thd,m sooooooo,which
hda,sooooooo happi,faster
i i,happi feel,kanazawa
sta,u must,train
ire,must tire,bu
 no,have love,sooooooo
ti,love day,hello
tte,can tell,u
al,tell ladi,nowwwww
r c,ladi room,can
ect,room j,tell
 bu,harri how,ladi
k g,how asuka,room
end,asuka asuka,how
 ab,asuka hungri,hungri
o l,hungri j,two
sho,two peopl,peopl
dow,peopl seven,seven
o n,seven thirti,thirti
per,thirti j,wavephilip
her,j wavephilip,bailey
ree,wavephilip bailey,phil
eep,bailey phil,collinseasi
not,phil collinseasi,lover
l t,collinseasi lover,did
too,did guy,guy
oot,guy listen,hadashi
e t,listen new,de
eng,new song,summer
ung,song hadashi,heyeveryon
i j,hadashi de,romanc
in,de summer,www
top,listen amaz,voic
sug,amaz song,letter
uga,song rock,armi
ga,rock romanc,black
 gi,morn dark,swan
 bi,m dark,inner
y a,dark www,child
e a,nice voic,winterbear
un,the love,v
tes,love letter,biggest
el,letter bt,sensat
n b,bt armi,our
 fe,armi boy,geniu
fee,luv black,leader
eel,black swan,whi
lik,swan shadow,perfect
ike,ego inner,phenomenon
ke,inner child,misfit
r h,child winterbear,x
l s,winterbear bt,throne
bea,bt v,retron
rri,on shadow,tini
rew,ego light,giant
 un,the biggest,hdtv
now,biggest global,samsung
air,global sensat,keynot
ir,sensat time,catch
com,our geniu,up
hav,geniu leader,strategi
nic,whi perfect,moment
ple,the global,gone
e b,global phenomenon,panason
asi,misfit x,electron
mat,x game,solut
id,game throne,under
tim,the retron,mobil
ime,retron jr,environ
 gl,jr let,grandpa
glo,let you,digit
ad,you play,screen
d w,play all,famili
 de,all your,ces
r g,your tini,jan
a t,tini game,everywher
epo,game boy,come
had,boy game,age
r b,game your,dec
lig,your giant,commun
uv,giant hdtv,tool
v b,samsung keynot,ll
n s,keynot day,vr
 ga,day januari,livepaint
gam,shimura the,ce
jan,the catch,neon
oll,catch up,booth
llo,up strategi,pm
ca,strategi moment,th
muc,moment gone,meet
