charTrigrams,wordBigrams,wordUnigrams
 at,later greek,after
ide,greek poet,lb
ong,poet c,busi
rig,c p,discuss
ppo,p kavafi,rg
ran,kavafi wrote,medic
n g,turk accus,hear
 pl,accus us,topic
l a,us cruel,semifinalist
r f,cruel they,dont
e n,they forget,claim
tec,forget turkey,trust
ria,turkey respons,guard
t u,respons pontiac,whatev
str,pontiac greek,case
t i,greek genocid,but
i g,genocid invas,hey
 ti,invas cypru,media
no,cypru we,protest
i c,dont take,author
tra,take lesson,fellow
od,lesson peopl,awar
lik,peopl commit,decis
oug,commit atroc,our
ugh,greec extern,clear
ote,and greek,everybodi
key,greek defend,women
om,defend for,dictat
rou,for democraci,alreadi
n e,democraci freedom,host
ean,freedom land,citizen
gra,land europ,solidar
ia,messag ident,austria
eas,ident tri,throughout
e c,tri illeg,long
e w,illeg enter,ask
r c,proof turk,sourc
cit,turk never,blackmail
 bi,never accept,r
l p,accept wrong,al
i m,wrong claim,an
ook,claim invad,these
n d,invad cyprus,nice
eam,cyprus how,st
lit,anyon trust,ottoman
mea,trust brainwash,christian
rtu,it greec,oblig
d c,s constitut,territori
n f,constitut right,islamist
 mu,right guard,special
 or,border we,high
 cr,we take,just
e l,respons whatev,show
ag,whatev happen,past
leg,happen case,govern
ron,case attempt,presid
 br,attempt violat,rest
tre,violat border,twitter
mig,we receiv,are
igr,receiv messag,thought
hi,around europ,tear
i a,europ non,min
de,non european,can
 fu,countri we,patrol
 wi,we extrem,home
hum,extrem grate,provid
uma,grate but,ass
ost,but one,anti
pit,one favourit,propaganda
ove,favourit miss,life
lic,miss hey,card
go,migrant greec,mayor
 n,greec prompt,piec
fer,prompt social,tank
to,social media,safe
hey,media protest,full
l t,protest order,especi
ont,order pressuris,increas
r w,pressuris greek,soul
 wh,author open,arm
te,border thi,way
ris,thi attack,incred
tho,attack greec,smoke
p s,europ spread,cross
mak,spread word,problem
y a,fellow european,listen
nc,european greec,gate
you,pleas make,hard
not,awar fake,evro
 mo,news turkey,anoth
rki,turkey spread,finish
 un,spread remamb,lt
r r,remamb greec,research
oad,s decis,polici
ime,decis law,terrorist
sen,law request,play
r i,request eu,realiti
 t,eu countri,global
loo,countri support,whole
 si,greec thank,money
dea,our pm,fire
d l,pm made,now
 ga,made clear,appli
i d,clear peopl,court
nig,peopl fulli,creat
kno,fulli support,shape
ali,support we,m
len,we wish,fat
elo,wish everybodi,could
rk,everybodi well,dinner
d p,well must,man
fou,must protect,parti
rot,protect countri,oh
l c,countri europ,sunday
ain,do alway,ll
 vi,alway agre,gone
upp,agre well,tune
t o,said greek,far
 op,greek women,holiday
i e,women rule,gain
i r,sorri i,school
 hi,i rephras,guy
pas,rephras pseudo,ultimatum
eri,pseudo humanitarian,italian
a s,humanitarian pretenc,mussolini
ee,pretenc hide,when
t n,hide threat,dare
eal,threat turkey,caus
 it,turkey pose,pride
ste,pose greec,oct
ind,and democraci,defeat
sid,sicken extrem,hell
are,extrem promis,import
inc,promis uplift,attend
bac,uplift they,saturday
ed,they pass,star
y g,pass welcom,xeni
ike,welcom you,morn
tup,you nto,oscar
ppi,nto dictat,goe
br,dictat us,fantast
ama,us enter,im
low,countri alreadi,olympiako
ing,alreadi host,second
efe,host million,win
ers,million get,over
r d,we grate,pick
 ce,grate messag,inclus
i l,world thank,tourism
ons,citizen europ,entrepreneurship
s p,europ take,connect
as,take action,commun
ern,action press,fund
r e,press govt,honor
emo,govt protest,divers
eed,protest yell,congrat
i i,yell necesseri,success
eg,a big,invest
rai,big thank,programm
sup,thank belgian,applic
e f,belgian mp,afraid
is,mp rais,final
new,rais greek,athen
lli,greek flag,judg
wel,flag speech,soon
l s,speech belgian,destin
 i,belgian parliament,chatziparasid
k f,parliament solidar,alongsid
h a,solidar greec,tech
gan,europ need,startsmart
loa,sebastian kurz,foundat
tal,kurz pm,mitef
ler,pm austria,blah
l d,austria speak,stage
r h,speak truth,skype
say,truth the,taken
e h,the bulgarian,allow
fir,bulgarian border,number
ton,border free,centuri
mem,free turk,later
fic,turk direct,poet
so,direct immigr,genocid
pla,immigr toward,invas
har,toward greek,lesson
itc,noth add,extern
 of,add thank,wrong
mat,thank and,receiv
oll,and peopl,extrem
leb,peopl alway,grate
ebr,alway stand,miss
m s,greec but,social
maz,but mostli,pm
ndo,mostli throughout,hide
old,throughout long,threat
n h,long histori,belgian
il,histori alway,kurz
llo,alway fought,toward
def,fought tyranni,tyranni
org,tyranni order,shit
nti,order to,piti
d f,to protect,warfar
i f,protect freedom,nazi
lan,freedom democraci,overload
 cl,old shit,push
g s,i ask,mayb
omp,ask european,f
l f,european peopl,isnt
act,peopl peopl,ayin
ig,peopl around,history
sol,world stand,armenian
ak,greec erdogan,kurd
imm,s extort,toler
rc,best news,turn
pol,news ever,balkan
ce,the spread,lectur
urs,spread fake,theyr
eng,news photo,simpl
 sm,photo children,deal
mon,children turk,hella
sho,turk aim,ca
see,aim evok,minist
oul,evok emot,alert
ati,emot piti,demand
pan,piti guilt,seriou
hea,guilt call,account
pi,call psycholog,instead
pao,psycholog warfar,thoroughli
aok,warfar greec,announc
ene,greec taken,complet
ili,taken law,along
uri,law action,prevent
k a,action protect,smuggler
acc,border peopl,dead
mmi,even turkish,refugees
cce,turkish sourc,migr
nst,sourc reveal,frontex
 bu,reveal nazi,assist
 on,nazi blackmail,secur
men,blackmail attack,pressur
ten,discard uncount,pig
ou,uncount poor,hold
ame,refuge overload,written
eak,overload via,o
hou,via part,without
 as,part denounc,those
arm,denounc r,report
cri,r push,tweet
e u,push turkish,hashtag
sha,turkish police,shame
h m,police armi,tourist
e i,mayb it,sign
oni,s time,except
 ki,time to,shoot
r l,to go,video
r m,go f,strong
rst,f yourselv,afghanistan
rro,histori repeat,act
tic,europ under,plan
ifi,under attack,allahu
nat,talmud wrong,akbar
exp,wrong live,boy
lis,live well,togeth
mar,well isnt,river
ane,isnt best,walk
xi,reveng the,near
 ro,reveng reveng,hand
off,reveng it,polit
az,it mitzvah,kind
ina,mitzvah al,innoc
nal,al pacino,here
emi,pacino hunter,guess
rel,hunter s,everi
e o,e ayin,littl
hot,ayin tachat,leav
 do,tachat ayin,treat
s c,ayin an,be
nva,eye for,kill
d e,for an,gon
im,break new,na
emp,new austrian,almost
l m,austrian chancellor,again
tac,chancellor kurz,cost
y s,kurz austria,justic
d r,austria readi,wide
mus,readi support,alli
way,support extern,situat
nit,border state,seem
pli,state e,planet
 yo,e g,ve
dic,g bulgaria,exist
oth,bulgaria greec,continu
ail,greec send,civil
car,send polic,economi
unc,forc austria,beyond
o f,austria support,set
nde,greec to,head
n a,to close,taxi
ese,close border,them
 ni,turkey history,island
bal,history onli,block
int,onli crimin,road
y c,crimin record,bro
ien,these nice,lose
y e,nice poor,true
elp,poor immigr,behind
rti,immigr tri,stronger
d a,tri invad,mine
 dr,invad countri,prefer
 ci,countri speak,wake
now,speak get,throw
cre,get the,circul
k c,the fuck,surrend
ici,fuck out,away
exc,throughout histori,jihadist
tin,histori mess,wo
rs,mess armenian,current
ace,armenian kurd,whether
hal,kurd smyrna,sport
moo,smyrna byzantium,tsiknothursday
p c,byzantium cypru,roll
neu,cypru one,offic
epr,one toler,tuesday
 ph,toler unfair,orthodox
c e,unfair illeg,late
 il,illeg violat,stream
esp,violat humam,delici
k p,humam right,masqu
c g,right turn,carniv
d b,turn come,babi
s w,come enough,grekaddict
rat,enough enough,train
rit,no on,session
edi,on pass,lot
c d,t tri,uncl
s m,the balkan,smell
s t,balkan tyrant,ok
ade,tyrant thi,annual
aid,thi poster,tradit
ita,poster portray,season
ose,portray st,squar
ick,st balkan,run
mil,balkan war,wear
orl,war newli,begin
rld,newli independ,return
ann,independ state,brother
k e,state fought,globe
dre,fought ottoman,owner
sou,ottoman the,uniti
rev,the emphasi,metaxa
 pu,emphasi christian,entir
orc,christian state,lost
c a,state unit,invinc
uck,unit fight,german
n w,fight demon,monster
tom,demon muslim,award
ip,our differ,front
fri,these not,hi
rin,not period,think
ins,period if,fightlik
h f,if tri,churchil
ssi,enter shot,save
irs,shot thi,reflect
eep,look who,remembr
ep,who lectur,occupi
ult,lectur us,describ
wee,us intern,small
top,law theyr,refus
mi,theyr shamelessli,anniversari
rad,shamelessli attack,northern
ro,attack syrian,student
 fe,syrian land,wwii
ork,land w,shop
ara,w oblig,capit
kkk,oblig let,passion
hah,let enter,spirit
d m,stay territori,sinc
sem,territori simpl,rememb
 ol,simpl deal,leader
o t,deal it,courag
do,news made,child
fen,made albania,bang
i h,to islamist,region
lat,islamist neo,tragic
pon,neo ottoman,k
e d,ottoman dog,sound
omm,dog guind,english
tro,guind lawless,bond
rac,lawless immigr,complic
ci,immigr hella,bo
fre,hella want,black
nev,want put,pea
pt,put countri,age
vad,countri come,misic
bra,come claim,clean
 gu,claim land,equal
rec,land hella,insid
iv,hella enough,crazi
mis,enough men,half
r o,men equip,focu
tta,equip defend,club
ple,defend s,cant
eci,s peopl,toumba
cis,peopl territori,ladi
 ag,he ca,tzolaki
thr,t even,paschalaki
pos,even see,pelka
ft,see ironi,convert
s e,ironi thi,level
 ye,thi moron,rival
big,moron minist,express
ech,special forc,pedro
gr,forc polic,injuri
out,polic high,randelov
hol,high alert,semifin
h s,just day,hassan
 bl,day ago,martin
dis,ago demand,xi
eco,demand refuge,sa
um,refuge us,market
o n,us accept,tv
alk,accept attack,vs
uni,attack war,leagu
lig,war victim,dimitri
let,victim border,stadium
ini,border open,popota
nis,open is,excus
pec,is turkey,taft
ert,turkey countri,boston
rie,countri must,episod
pri,must show,becom
ere,show respect,chang
lp,respect human,powder
rob,they call,trailer
nda,call illeg,friday
r b,illeg greec,scale
row,greec legitim,uk
lin,legitim right,marina
a c,right protect,dragon
t k,border friend,den
 kn,friend forget,futur
emb,forget past,brain
eet,past seriou,creativ
ign,seriou govern,talent
p p,prime minist,ventur
red,minist say,memori
i n,say exactli,audienc
 ke,exactli presid,innov
un,presid well,huge
 cu,stand new,program
hur,new orchestr,from
sda,orchestr rest,june
y n,rest it,determin
nel,it europ,organis
pho,europ best,link
hin,best interest,done
spi,interest help,with
la,to one,speaker
k g,one famou,georg
eno,famou influenc,alexia
d i,influenc twitter,director
mit,twitter account,board
ext,account greec,perfect
dem,greec such,prepar
g i,such suspens,vc
ept,suspens shrink,expo
how,shrink twitter,roozbeh
yon,twitter instead,mc
wha,instead protect,invit
mpt,protect investig,sponsor
t v,investig thoroughli,vassili
rem,thoroughli suspend,papakonstantin
med,suspend reason,winner
a p,reason are,per
s g,are seriou,organ
s d,seriou probabl,hungari
h e,probabl turk,slam
k w,turkey announc,destabil
y p,announc complet,homer
 up,complet meter,iliad
tat,meter high,bc
p t,high fortif,spartan
cti,fortif along,thespian
 ra,along border,larger
aus,border syria,persian
ire,syria prevent,thermopyla
chi,prevent refuge,c
hil,refuge smuggler,p
n l,smuggler enter,kavafi
lac,countri prevent,wrote
nou,prevent i,accus
h p,i thought,cruel
ew,thought turkey,pontiac
los,turkey help,commit
s a,s piti,atroc
na,turkish dead,ident
ir,dead tear,proof
fig,ga selfi,cyprus
y t,selfi min,brainwash
err,min iphon,constitut
imp,iphon photo,non
ale,can pleas,favourit
n i,pleas someth,prompt
d n,someth give,pressuris
p b,give refugees,word
 tw,migr danish,remamb
alo,danish patrol,request
h g,patrol take,fulli
 ea,take home,agre
rid,home frontex,rule
g m,frontex provid,sorri
o s,provid assist,rephras
hop,assist frontex,pseudo
pe,frontex oblig,humanitarian
ner,oblig take,pretenc
y l,take order,pose
atc,order oper,sicken
inn,oper poseidon,promis
thu,dear citizen,uplift
yea,citizen e,nto
l e,u onc,press
lti,onc greec,govt
pic,greec give,yell
c m,give good,necesseri
ath,good kick,mp
cto,kick turkish,rais
 oc,turkish ass,speech
oct,ass all,parliament
oto,all ask,sebastian
o a,ask support,truth
bes,support fight,bulgarian
uch,fight anti,direct
ger,anti greek,add
ber,greek propaganda,mostli
c c,propaganda thank,extort
c p,thank you,aim
i w,greec power,evok
y f,we refuge,emot
spo,refuge right,guilt
aci,right find,psycholog
ssa,find safeti,reveal
den,safeti secur,discard
tru,secur better,uncount
tem,better life,denounc
sur,life use,police
 au,use pressur,yourselv
 aw,pressur blackmail,repeat
s l,blackmail card,under
law,card s,talmud
ues,s turkish,mitzvah
eu,turkish author,pacino
mad,author incorpor,hunter
orr,incorpor smuggler,tachat
d d,smuggler media,break
ict,media activist,austrian
g t,time last,chancellor
 fl,last one,g
nee,winter come,bulgaria
m a,tomorrow i,onli
log,i sent,record
og,sent refuge,out
bla,refuge ynanistan,mess
rmi,ynanistan border,smyrna
iff,border readi,byzantium
ffe,readi grover,unfair
lec,grover first,humam
 sy,first take,tyrant
yri,take take,poster
lla,take berlin,portray
ol,berlin merhaba,newli
goo,back fuck,independ
win,fuck you,emphasi
o b,border day,demon
bri,day we,muslim
k h,we still,period
ul,still hold,who
ea,hold need,shamelessli
tou,need solidar,syrian
u a,you british,albania
ave,british realli,neo
rm,realli care,dog
mpe,care n,guind
whe,t well,lawless
wo,well send,men
nch,send wagon,equip
kee,wagon send,ironi
lov,send back,moron
rth,back refugees,victim
le,migr straight,legitim
fac,straight england,prime
ono,england we,exactli
arn,we realli,orchestr
ooo,realli friend,famou
ril,friend easili,influenc
m f,easili do,such
atu,do want,suspens
tas,mustafa yaln,shrink
uss,yaln mayor,investig
ki,mayor tala,suspend
pir,tala citi,reason
 jo,citi turkey,probabl
aha,turkey provid,meter
onf,provid free,fortif
xci,free ride,selfi
use,ride greek,iphon
ung,border mayor,someth
sla,special cheer,danish
des,cheer piec,oper
l g,piec garbag,poseidon
s i,garbag the,onc
pia,real respons,safeti
muc,respons major,incorpor
rge,major human,activist
erm,human tragedi,winter
cus,tragedi they,sent
sso,they alreadi,ynanistan
edo,alreadi biographi,grover
dom,biographi written,berlin
 id,written septic,merhaba
ola,septic tank,british
em,tank histori,wagon
ial,anyon europ,straight
dia,europ sleep,england
hor,sleep tonight,easili
awa,tonight know,mustafa
mb,know greek,yaln
aw,greek soldier,tala
ery,soldier mainli,ride
enc,mainli y,cheer
c h,y o,garbag
p r,o defend,major
h b,s eastern,tragedi
ida,eastern border,biographi
h t,border without,septic
tli,without help,sleep
his,help e,mainli
shi,u member,y
dog,those poor,eastern
o c,what safe,read
ild,safe report,thread
lt,report read,thousand
cal,read full,finger
i b,full thread,se
ud,tweet hashtag,boat
anc,hashtag increas,agean
y o,increas awar,sea
k o,awar happen,billion
eni,happen protest,revenu
c i,protest sacrific,medicin
dif,sacrific thousand,helicopt
rio,thousand human,risk
syr,human soul,seen
mpl,soul blackmail,teargas
d h,protect greek,accompani
hig,attack they,truck
ago,they eu,drone
rch,border well,gase
itt,stop bomb,pioneer
aso,bomb syria,hybrid
 gi,that finger,smuggl
 u,finger nation,exploit
d k,nation go,pakistanse
tiv,go ass,afghan
s f,ass fuck,cruelest
w i,se boat,immor
gon,boat patrol,measur
k r,patrol agean,imperialist
rag,agean sea,exam
age,sea thank,test
pti,thank for,shout
ffi,for support,suppli
cul,support us,radic
sea,it million,among
gn,million tourist,putin
xpe,tourist billion,toy
l w,billion revenu,magor
 af,revenu and,approv
aki,and still,partner
ppl,still sign,militia
oy,sign must,meric
bot,must expert,arda
d o,expert medicin,pazarkul
opp,medicin except,kastani
tun,helicopt border,edirn
 vo,ottoman pig,credit
p m,pig alway,reuters
inu,alway big,marko
ock,big risk,djurica
wai,risk human,peacemak
ait,human see,as
my,see syria,becam
tsi,have ever,pawn
