charTrigrams,wordBigrams,wordUnigrams
ies,long time,vs
t l,time we,baby
ho,to have,place
ack,have much,space
d d,much fear,bye
ste,fear when,stand
r i,when hearing,sports
 fe,hearing the,check
ks,a warplane,thursday
sto,warplane in,beautiful
tec,sky but,season
pla,but today,soon
s d,today we,ve
wat,re sure,kuzey
t c,sure those,episode
ame,those warplanes,trabzonspor
ont,warplanes we,stadium
now,hear their,million
cou,their sounds,car
l t,sounds are,participate
s l,to bomb,didnt
ant,bomb neither,showing
 fa,neither a,rest
get,house nor,also
cal,a school,different
ntr,school nor,powerful
ain,a hospital,every
eac,hospital a,muslim
rst,a market,kill
par,market a,muslims
ord,a bakery,peaceful
ina,bakery they,small
nal,are peaceful,drone
n o,the usa,afghanistan
ian,will bring,save
kin,god protect,death
am,protect turkish,comes
d h,it was,necessary
hel,what does,children
t b,me how,trust
lla,get to,enemies
ese,systems of,atatrk
s p,regime destroyed,territory
ast,destroyed today,away
 ge,many warplanes,used
hea,warplanes shot,neither
und,air force,house
s h,middle east,market
por,and russian,meanwhile
win,many su,iran
nat,our brave,bring
eas,brave turkish,guys
rmy,of islam,systems
use,we want,destroyed
r o,a game,heroic
see,be continued,ahead
ia,forces and,crush
so,i will,ll
pea,air forces,bless
ful,be turk,muhammed
d p,turk because,turn
oin,because you,turkeys
 op,you make,saying
y d,make war,nd
gre,power of,nato
ort,the western,after
t h,very well,might
hap,when the,anka
was,you see,defence
hav,is moving,mercy
y b,the free,nice
eli,of muhammed,call
t g,like that,upcoming
eop,if the,self
irs,and they,words
a s,who has,three
din,that the,march
d m,ten years,news
g s,get out,even
ind,of our,high
hen,bless you,european
nde,regime jets,watched
wha,how i,disgusting
lah,it with,comment
tak,be like,reality
n m,the great,better
ict,come to,bird
o m,and love,yes
n p,syrian people,fuck
spo,in peace,burn
o c,from now,oh
ssi,the real,each
y h,of nato,o
wer,talk about,li
peo,about the,isn
opl,i think,gender
 ki,operation to,road
e v,they had,support
way,greece and,raise
lan,assad and,leadership
yin,air defence,story
mil,defence systems,between
nin,two su,woman
som,winter is,damn
fir,about this,water
tic,anka s,class
wee,start of,birthday
ara,fighter jets,retweet
lat,a turkish,student
tro,of turkey,w
no,s last,become
old,at all,music
do,what we,looking
tho,peace in,sleep
ose,syria and,help
l a,and stop,feeling
can,deaths in,goes
tal,will stop,seen
l i,has started,learn
 gr,started an,around
rou,an operation,jason
op,border line,perembe
oth,and to,travel
 ab,self defense,scene
g i,bashar al,official
rie,al assad,series
 si,wont forget,girl
omi,forget this,movie
ene,words ever,fourty
een,ever again,cemned
ass,under right,together
oda,our wedding,lions
act,for our,ankara
tra,was the,p
son,a new,decisions
n d,right to,bein
id,we must,mc
 pl,must speak,demo
die,louder to,flight
unt,year old,teknofest
ady,the attack,meet
k t,in it,latest
hou,he said,products
uch,to me,plane
bou,a man,exhibition
y g,where are,airport
r b,the authorities,aerospace
n c,love you,hope
ys,a better,eating
bes,s still,nature
ona,by as,creating
