charTrigrams,wordBigrams,wordUnigrams
kaz,a bright,ooooh
azu,bright start,really
zu,start to,bad
him,the weekend,sign
imu,weekend cuz,screw
mur,cuz of,spaceship
ura,of you,battery
ra,asuka chaaaaaaaaaaaaaaaaa,running
t i,chaaaaaaaaaaaaaaaaa n,low
ens,was born,charger
new,born to,always
 ye,to love,buzz
y f,love you,off
low,you wish,heyare
rs,you see,ok
 ca,hair is,need
can,is fantasy,going
twe,fantasy it,underw
y m,s absolutely,sleepy
but,absolutely true,luck
t l,hair fantasy,talked
itt,of course,abt
ttl,course mate,hereww
tle,mate solid,which
 at,solid tune,faster
 pa,tune luv,kanazawa
e i,luv it,train
u a,time flies,bus
erf,mate wacked,sooooooo
ul,wacked glow,feel
l y,glow on,hello
kis,on my,u
iss,my show,lovely
uts,show just,nowwwww
see,now spreading,tell
 mr,spreading the,where
mr,the word,ladies
ld,word want,room
sat,want the,how
atu,the lads,are
nig,lads back,hungry
t k,back out,two
sum,out here,people
ump,here pronto,seven
f c,wake up,thirty
hic,the power,wavephilip
cke,with great,bailey
mov,great pleasure,phil
ont,pleasure mate,collinseasy
 ww,mate it,lover
ele,s a,guys
pho,a solid,hadashi
ake,solid chilled,de
pla,chilled tune,summer
lay,tune with,heyeveryone
ide,with love,romance
bir,love next,www
rth,next time,voice
thd,time let,letter
hda,s link,from
sta,link and,army
tat,and defo,black
was,defo rock,swan
ire,rock up,inner
rie,up to,child
ies,to your,winterbear
tal,your gig,v
o p,beautiful song,biggest
s v,kissing strangers,sensation
y p,strangers oooh,genius
y t,oooh ooooh,leader
o l,s really,perfect
se,really bad,phenomenon
e o,bad sign,misfits
tte,screw you,x
f a,you spaceship,thrones
nce,my battery,retron
d c,battery is,lets
n w,is running,tiny
n s,running low,games
ect,low have,giant
end,have you,hdtv
d t,you got,samsung
ill,the charger,keynote
go,m always,catch
sho,always with,strategy
dow,with you,moment
i d,buzz off,gone
per,heyare you,panasonic
r n,you ok,electronic
ree,all you,solution
eep,you need,under
epy,need is,mobile
too,is love,environment
oot,going underw,as
wha,good luck,grandpa
eng,luck talked,digital
ung,talked abt,screen
y k,abt it,family
top,it just,jan
y a,get out,everywhere
sug,out of,comes
uga,of hereww,age
ga,which is,dec
a i,is faster,communication
ent,faster to,tools
s n,to get,ll
 gi,get to,vr
 bi,to kanazawa,livepainting
o a,kanazawa train,neon
t n,train or,booth
 fe,or bus,pm
fee,so am,th
eel,is super,meet
lik,super i,there
