charTrigrams,wordBigrams,wordUnigrams
lit,its border,clear
r p,the country,him
ass,can you,wish
ces,the refugees,everybody
lon,refugees migrants,women
cha,take them,already
ele,them to,citizens
ond,to their,solidarity
aaa,a dream,austria
 us,e u,throughout
try,a good,long
y h,from you,action
get,are all,blackmail
tic,with all,r
 tr,and a,al
hap,them as,nice
wor,s the,try
war,not the,st
nit,first time,territory
h a,is coming,special
k b,then we,high
os,we need,opened
fug,need your,respect
gee,can send,past
now,send a,government
 ab,send you,president
 ge,want them,rest
em,mayor of,twitter
can,in europe,tear
l a,are defending,give
pea,what we,home
tes,dear people,kick
s d,the difficult,anti
has,difficult night,propaganda
t p,night for,refugee
oli,especially for,life
kis,people that,doing
ees,are protect,defending
ice,please stand,then
nde,us stand,care
up,about what,o
hel,and to,full
fin,protect the,especially
d e,is under,increase
 sp,eu borders,happening
aga,syria shame,souls
gai,our nation,fucking
 ac,fucking criminal,way
y f,must be,force
tte,be an,watch
hem,now at,gates
s h,in turkey,hard
e y,turkish military,evros
att,turkey s,another
whe,and human,having
n g,to send,lt
o p,a strong,research
nin,to and,policy
ss,to illegal,opportunity
spe,from afghanistan,she
ast,flag in,talking
tim,happening at,talk
urs,to come,matters
 my,allahu akbar,play
ood,by force,reality
lin,as they,learn
red,they walk,global
tch,immigrants and,whole
t l,kind of,side
tak,open your,money
do,from a,takes
r c,to keep,fire
n b,greece on,court
oug,here is,end
ugh,women and,m
per,their country,fat
who,and other,grilled
wha,all their,could
m a,having a,dinner
rou,a look,man
nts,are coming,party
rep,greece has,baby
n p,in evros,eat
 up,president erdogan,oh
so,border gates,sunday
mp,it up,looking
a s,you should,ll
 im,is using,gone
o f,foreign policy,far
ese,war against,holiday
amp,them and,school
n f,about human,found
g i,of is,ultimatum
ans,of in,fascist
s l,real face,mussolini
tho,face of,were
o i,only thing,offered
ard,the war,resistance
ds,the road,cause
t h,to immigrants,pride
ct,learn from,oct
ys,to a,hell
ria,you the,important
ost,in my,saturday
sto,much stronger,star
cel,keep them,xeni
tra,back in,taking
t b,the whole,morning
hen,side of,oscar
ok,greece the,goes
nat,he is,red
abo,wake up,fantastic
bou,the hellenic,im
ali,at all,meeting
e u,will do,olympiakos
nti,good luck,goals
inv,when you,second
id,and jihadists,highlights
pen,won t,reds
ite,end to,win
ery,welcome to,experience
ani,the current,pick
enc,whether and,inclusion
t n,is in,finals
 pi,my heart,share
d b,i had,university
ic,so much,tourism
tea,i m,entrepreneurship
hin,a full,community
d g,fat tuesday,congrats
uri,grilled meat,accelerator
t c,meat today,programme
rke,today it,afraid
s r,the amazing,learning
cit,masque party,athens
lly,party today,soon
ong,to know,dreams
y c,celebrate it,technology
rig,is about,destination
ppo,lit lit,chatziparasidou
n e,of meat,topic
but,waiting for,alongside
ris,greece today,experts
