charTrigrams,wordBigrams,wordUnigrams
y w,a bright,oooh
kaz,bright start,ooooh
azu,start to,really
zu,the weekend,bad
him,weekend cuz,sign
imu,cuz of,screw
mur,of you,spaceship
ura,asuka chaaaaaaaaaaaaaaaaa,battery
ra,chaaaaaaaaaaaaaaaaa n,running
t i,was born,low
ens,born to,charger
new,to love,always
 ye,love you,buzz
y f,you wish,off
low,you see,heyare
rs,hair is,ok
 ca,is fantasy,need
can,fantasy it,going
twe,s absolutely,underw
y m,absolutely true,sleepy
but,hair fantasy,luck
t l,of course,talked
itt,course mate,abt
ttl,mate solid,hereww
tle,solid tune,which
 at,tune luv,faster
 pa,luv it,kanazawa
e i,time flies,train
u a,mate wacked,bus
erf,wacked glow,sooooooo
ul,glow on,feel
l y,on my,hello
kis,my show,u
iss,show just,lovely
uts,now spreading,nowwwww
see,spreading the,tell
 mr,the word,where
mr,word want,ladies
ld,want the,room
sat,the lads,how
atu,lads back,are
nig,back out,hungry
t k,out here,two
sum,here pronto,people
ump,wake up,seven
f c,the power,thirty
hic,with great,wavephilip
cke,great pleasure,bailey
mov,pleasure mate,phil
ont,mate it,collinseasy
 ww,s a,lover
ele,a solid,guys
pho,solid chilled,hadashi
ake,chilled tune,de
pla,tune with,summer
lay,with love,heyeveryone
ide,love next,romance
bir,next time,www
rth,time let,voice
thd,s link,omamory
hda,link and,letter
sta,and defo,from
tat,defo rock,army
was,rock up,black
ire,up to,swan
rie,to your,inner
ies,your gig,child
tal,beautiful song,winterbear
o p,kissing strangers,v
s v,strangers oooh,biggest
y p,oooh ooooh,sensation
y t,s really,genius
o l,really bad,leader
se,bad sign,perfect
e o,screw you,phenomenon
tte,you spaceship,misfits
f a,my battery,x
nce,battery is,thrones
d c,is running,retron
n w,running low,lets
n s,low have,tiny
ect,have you,games
end,you got,giant
d t,the charger,hdtv
ill,m always,samsung
go,always with,keynote
sho,with you,catch
dow,buzz off,strategy
i d,heyare you,moment
per,you ok,gone
r n,all you,panasonic
ree,you need,electronic
eep,need is,solution
epy,is love,under
too,going underw,mobile
oot,good luck,environment
wha,luck talked,as
eng,talked abt,grandpa
ung,abt it,digital
y k,it just,screen
top,get out,family
y a,out of,jan
sug,of hereww,everywhere
uga,which is,comes
ga,is faster,age
a i,faster to,dec
ent,to get,communication
s n,get to,tools
 gi,to kanazawa,ll
 bi,kanazawa train,vr
o a,train or,livepainting
t n,or bus,neon
 fe,so am,booth
fee,is super,pm
eel,super i,th
lik,m sooooooo,meet
ike,sooooooo happy,there
